t,x,y,z
109320.00000000000,174540.05988100544,-18665510.772935428,18683925.746747077
109350.00000000000,226914.22870932333,-18615353.16250421,18733145.09717526
109380.00000000000,279504.6167237107,-18565151.80663651,18781999.624909725
109410.00000000000,332310.63926861994,-18514908.382240698,18830488.373391733
109440.00000000000,385331.70116204955,-18464624.564407192,18878610.393279426
109470.00000000000,438567.196713293,-18414302.026336968,18926364.742467694
109500.00000000000,492016.50974108465,-18363942.439270206,18973750.486107774
109530.00000000000,545679.0135922935,-18313547.472415034,19020766.696626745
109560.00000000000,599554.0711608585,-18263118.792876393,19067412.45374685
109590.00000000000,653641.0349076428,-18212658.065584935,19113686.844504658
109620.00000000000,707939.2468803283,-18162166.953226168,19159588.963270098
109650.00000000000,762448.0387339778,-18111647.116169594,19205117.91176527
109680.00000000000,817166.7317520659,-18061100.212398015,19250272.799083192
109710.00000000000,872094.6368679609,-18010527.897436973,19295052.741706293
109740.00000000000,927231.0546868853,-17959931.824284308,19339456.863524813
109770.00000000000,982575.2755082119,-17909313.643339813,19383484.295854993
109800.00000000000,1038126.5793485474,-17858675.002335075,19427134.177457176
109830.00000000000,1093884.2359649679,-17808017.54626341,19470405.654553648
109860.00000000000,1149847.5048788432,-17757342.91730995,19513297.880846415
109890.00000000000,1206015.6354001574,-17706652.754781865,19555810.01753475
109920.00000000000,1262387.866652188,-17655948.69503875,19597941.23333262
109950.00000000000,1318963.4275968364,-17605232.371423148,19639690.70448591
109980.00000000000,1375741.5370601304,-17554505.4141912,19681057.61478954
110010.00000000000,1432721.40375851,-17503769.450443514,19722041.15560436
110040.00000000000,1489902.2263253639,-17453026.104056098,19762640.525873914
110070.00000000000,1547283.1933380608,-17402276.99561155,19802854.93214103
110100.00000000000,1604863.4833454918,-17351523.742330343,19842683.588564273
110130.00000000000,1662642.2648959812,-17300767.9580023,19882125.71693416
110160.00000000000,1720618.6965657948,-17250011.252918266,19921180.546689317
110190.00000000000,1778791.9269878604,-17199255.233801905,19959847.314932343
110220.00000000000,1837161.0948812654,-17148501.503741696,19998125.266445648
110250.00000000000,1895725.3290809197,-17097751.662123144,20036013.653706994
110280.00000000000,1954483.748567815,-17047007.30456108,20073511.73690495
110310.00000000000,2013435.462499692,-16996270.022832252,20110618.783954162
110340.00000000000,2072579.5702421488,-16945541.404808052,20147334.07051044
110370.00000000000,2131915.161400251,-16894823.034387417,20183656.879985694
110400.00000000000,2191441.3158504115,-16844116.491430007,20219586.50356268
110430.00000000000,2251157.1037730137,-16793423.351689428,20255122.2402096
110460.00000000000,2311061.5856852,-16742745.186746843,20290263.396694534
110490.00000000000,2371153.8124742256,-16692083.563944671,20325009.287599675
110520.00000000000,2431432.8254312146,-16641440.046320483,20359359.23533541
110550.00000000000,2491897.656285409,-16590816.192541186,20393312.570154253
110580.00000000000,2552547.327226241,-16540213.55684457,20426868.63016028
110610.00000000000,2613380.850995496,-16489633.688940924,20460026.76134231
110640.00000000000,2674397.230823308,-16439078.134005375,20492786.317553025
110670.00000000000,2735595.460543083,-16388548.432567196,20525146.660549477
110700.00000000000,2796974.5246038204,-16338046.12045895,20557107.159997825
110730.00000000000,2858533.398106957,-16287572.728751943,20588667.193486195
110760.00000000000,2920271.0468435436,-16237129.78369192,20619826.1465374
110790.00000000000,2982186.4273319365,-16186718.806635004,20650583.412621476
110820.00000000000,3044278.4868557416,-16136341.313983865,20680938.39316802
110850.00000000000,3106546.163502465,-16085998.817124128,20710890.49757843
110880.00000000000,3168988.3861643123,-16035692.822383286,20740439.143226452
110910.00000000000,3231604.0747068217,-15985424.830891851,20769583.755509183
110940.00000000000,3294392.139841127,-15935196.338618621,20798323.76780785
110970.00000000000,3357351.4832621226,-15885008.83625064,20826658.621529147
111000.00000000000,3420480.9976671124,-15834863.809143681,20854587.766109917
111030.00000000000,3483779.5667969584,-15784762.737260077,20882110.65902828
111060.00000000000,3547246.0654773256,-15734707.095106952,20909226.765814587
111090.00000000000,3610879.3596605323,-15684698.351674601,20935935.560062263
111120.00000000000,3674678.3064677026,-15634737.970375234,20962236.523438387
111150.00000000000,3738641.754231373,-15584827.40898189,20988129.145694118
111180.00000000000,3802768.5425384957,-15534968.119567718,21013612.92467503
111210.00000000000,3867057.5022738473,-15485161.548445435,21038687.366331115
111240.00000000000,3931507.455663697,-15435409.136107171,21063351.984726753
111270.00000000000,3996117.21632017,-15385712.317164484,21087606.302050445
111300.00000000000,4060885.5892856987,-15336072.520288717,21111449.84862432
111330.00000000000,4125811.3710780265,-15286491.168151647,21134882.162913576
111360.00000000000,4190893.3497355506,-15236969.677366395,21157902.79153566
111390.00000000000,4256130.304863098,-15187509.458428608,21180511.28926928
111420.00000000000,4321521.007677919,-15138111.915658027,21202707.219063256
111450.00000000000,4387064.221056402,-15088778.447140206,21224490.152045228
111480.00000000000,4452758.699580792,-15039510.444668636,21245859.667530075
111510.00000000000,4518603.1895865295,-14990309.293687178,21266815.353028297
111540.00000000000,4584596.429209866,-14941176.373232719,21287356.804254096
111570.00000000000,4650737.148435865,-14892113.05587817,21307483.625133358
111600.00000000000,4717024.069146864,-14843120.707675815,21327195.427811418
111630.00000000000,4783456.040691756,-14794200.60919806,21346491.820993654
111660.00000000000,4850031.494949432,-14745354.272312038,21365372.45539662
111690.00000000000,4916749.268169466,-14696582.963086592,21383836.957468074
111720.00000000000,4983608.050315954,-14647888.020929992,21401884.97230611
111750.00000000000,5050606.523497503,-14599270.778451176,21419516.153264392
111780.00000000000,5117743.362017963,-14550732.561404906,21436730.16195889
111810.00000000000,5185017.232427363,-14502274.688637318,21453526.668274358
111840.00000000000,5252426.7935730405,-14453898.472031845,21469905.350370713
111870.00000000000,5319970.696651461,-14405605.216455335,21485865.894689165
111900.00000000000,5387647.585259993,-14357396.219704699,21501407.995958194
111930.00000000000,5455456.095449422,-14309272.77245366,21516531.35719936
111960.00000000000,5523394.855776427,-14261236.15820009,21531235.689732898
111990.00000000000,5591462.487356781,-14213287.65321343,21545520.71318317
112020.00000000000,5659657.6039185,-14165428.526482714,21559386.1554839
112050.00000000000,5727978.811855656,-14117660.039664738,21572831.75288329
112080.00000000000,5796424.710282414,-14069983.447032612,21585857.24994883
112110.00000000000,5864993.891087202,-14022399.995424807,21598462.399572082
112140.00000000000,5933684.938987654,-13974910.924194332,21610646.962973192
112170.00000000000,6002496.431585329,-13927517.465158466,21622410.709705215
112200.00000000000,6071426.939421314,-13880220.842548681,21633753.4176583
112230.00000000000,6140475.026031621,-13833022.272961086,21644674.87306367
112260.00000000000,6209639.248003321,-13785922.965307083,21655174.870497428
112290.00000000000,6278918.15503083,-13738924.120764442,21665253.21288418
112320.00000000000,6348310.289972362,-13692026.93272886,21674909.711500477
112350.00000000000,6417814.188907036,-13645232.586765613,21684144.185978062
112380.00000000000,6487428.381191917,-13598542.260561895,21692956.464306958
112410.00000000000,6557151.389519704,-13551957.123879272,21701346.382838372
112440.00000000000,6626981.729976381,-13505478.338506708,21709313.786287405
112470.00000000000,6696917.912099551,-13459107.058213763,21716858.52773556
112500.00000000000,6766958.438936683,-13412844.428704403,21723980.468633138
112530.00000000000,6837101.807103918,-13366691.58757098,21730679.478801377
112560.00000000000,6907346.506845138,-13320649.664248712,21736955.43643444
112590.00000000000,6977691.022091147,-13274719.779970536,21742808.22810124
112620.00000000000,7048133.830519401,-13228903.047722287,21748237.74874705
112650.00000000000,7118673.403613746,-13183200.572198378,21753243.90169495
112680.00000000000,7189308.206724748,-13137613.449757716,21757826.59864709
112710.00000000000,7260036.699129935,-13092142.768380176,21761985.759685773
112740.00000000000,7330857.334094752,-13046789.607623314,21765721.313274357
112770.00000000000,7401768.558933329,-13001555.038579607,21769033.196257953
112800.00000000000,7472768.815069825,-12956440.123834038,21771921.353863973
112830.00000000000,7543856.538100077,-12911445.917421993,21774385.739702515
112860.00000000000,7615030.157853174,-12866573.464787785,21776426.315766476
112890.00000000000,7686288.098453737,-12821823.802743271,21778043.05243158
112920.00000000000,7757628.778384047,-12777197.95942723,21779235.9284562
112950.00000000000,7829050.610546782,-12732696.954264792,21780004.930980965
112980.00000000000,7900552.002327722,-12688321.797927551,21780350.055528205
113010.00000000000,7972131.355658861,-12644073.492293982,21780271.30600124
